#{"t_start": 1668550789.767045, "env_id": "nnMeta-v40"}
r,l,t
15429.0,14,6.990642
16788.0,15,6.999125
18741.0,16,7.007794
20765.0,17,7.016053
22207.0,18,7.024554
23851.0,19,7.033251
24757.0,20,7.041662
25857.0,21,7.050261
27010.0,22,7.059417
27691.0,23,7.068715
1796.0,1,7.078327
3803.0,2,7.088819
5510.0,3,7.098218
7587.0,4,7.107816
8192.0,5,7.117381
9281.0,6,7.12694
10021.0,7,7.135711
12189.0,8,7.144757
12962.0,9,7.153486
13152.0,10,7.161997
13487.0,11,7.170687
15745.0,12,7.179053
16162.0,13,7.187825
18058.0,14,7.195987
20009.0,15,7.204697
20014.0,16,7.212959
21870.0,17,7.221739
23041.0,18,7.230212
24589.0,19,7.238872
26030.0,20,7.247384
27588.0,21,7.25609
28201.0,22,7.264648
30192.0,23,7.273576
30673.0,24,7.281972
32868.0,25,7.290597
33979.0,26,7.299084
35734.0,27,7.307942
36049.0,28,7.316396
36980.0,29,7.325115
39160.0,30,7.333637
40788.0,31,7.342596
42226.0,32,7.351524
43419.0,33,7.36114
44283.0,34,7.371116
46331.0,35,7.380365
47018.0,36,7.390632
48618.0,37,7.400074
48895.0,38,7.409791
49768.0,39,7.419208
51890.0,40,7.429139
51913.0,41,7.439144
53564.0,42,7.448793
54092.0,43,7.45948
54387.0,44,7.46862
56139.0,45,7.478595
56510.0,46,7.488552
56777.0,47,7.498276
57722.0,48,7.508534
1916.0,1,7.518115
2925.0,2,7.527362
4534.0,3,7.535926
6832.0,4,7.544808
6857.0,5,7.557274
8685.0,6,7.567284
8921.0,7,7.577744
10079.0,8,7.587491
12094.0,9,7.597037
14422.0,10,7.607386
16374.0,11,7.615835
18230.0,12,7.624435
18913.0,13,7.632825
19941.0,14,7.64143
21240.0,15,7.649704
23047.0,16,7.658389
24790.0,17,7.667
24941.0,18,7.675794
26477.0,19,7.684196
28569.0,20,7.693069
30799.0,21,7.701408
32669.0,22,7.709925
33124.0,23,7.718259
33357.0,24,7.726791
34170.0,25,7.735166
35759.0,26,7.744081
37984.0,27,7.75284
39770.0,28,7.761565
41263.0,29,7.770365
42765.0,30,7.778852
44139.0,31,7.787776
44411.0,32,7.79614
46451.0,33,7.805469
47244.0,34,7.815193
49516.0,35,7.825705
50224.0,36,7.835293
51636.0,37,7.845144
52038.0,38,7.855078
54162.0,39,7.864428
54606.0,40,7.87363
55409.0,41,7.882809
57428.0,42,7.892963
57920.0,43,7.902404
58692.0,44,7.911636
60352.0,45,7.921558
61390.0,46,7.931627
62789.0,47,7.941505
63664.0,48,7.951218
1780.0,1,7.961378
2480.0,2,7.971628
4067.0,3,7.981875
5389.0,4,7.992162
6694.0,5,8.002118
7777.0,6,8.012359
8886.0,7,8.022626
9964.0,8,8.031323
10439.0,9,8.040125
11758.0,10,8.048519
11760.0,11,8.057127
13420.0,12,8.066579
15328.0,13,8.076832
16071.0,14,8.086691
17013.0,15,8.096417
18493.0,16,8.106158
18755.0,17,8.115382
20095.0,18,8.125715
20408.0,19,8.13509
21765.0,20,8.145217
23176.0,21,8.155232
24716.0,22,8.165167
24730.0,23,8.175159
26961.0,24,8.184458
28728.0,25,8.193151
29599.0,26,8.201851
30830.0,27,8.211353
30861.0,28,8.222478
